Zone;Land;Beskrivelse;Fra;Til
REMOTE;SE;Remote Sverige;57295;57295
REMOTE;SE;Remote Sverige;61494;61498
REMOTE;SE;Remote Sverige;70596;70598
REMOTE;SE;Remote Sverige;77595;77595
REMOTE;SE;Remote Sverige;83691;83695
REMOTE;SE;Remote Sverige;57297;57297
REMOTE;SE;Remote Sverige;61591;61596
REMOTE;SE;Remote Sverige;71172;71177
REMOTE;SE;Remote Sverige;77671;77674
REMOTE;SE;Remote Sverige;83771;83773
REMOTE;SE;Remote Sverige;57361;57373
REMOTE;SE;Remote Sverige;61690;61691
REMOTE;SE;Remote Sverige;71192;71198
REMOTE;SE;Remote Sverige;77693;77698
REMOTE;SE;Remote Sverige;83775;83796
REMOTE;SE;Remote Sverige;57375;57377
REMOTE;SE;Remote Sverige;61790;61791
REMOTE;SE;Remote Sverige;71291;71295
REMOTE;SE;Remote Sverige;77760;78091
REMOTE;SE;Remote Sverige;83799;83799
REMOTE;SE;Remote Sverige;57392;57399
REMOTE;SE;Remote Sverige;61893;61893
REMOTE;SE;Remote Sverige;71391;71394
REMOTE;SE;Remote Sverige;78190;78190
REMOTE;SE;Remote Sverige;84144;84144
REMOTE;SE;Remote Sverige;57454;57476
REMOTE;SE;Remote Sverige;61995;61995
REMOTE;SE;Remote Sverige;71472;71596
REMOTE;SE;Remote Sverige;78195;78199
REMOTE;SE;Remote Sverige;84193;84199
REMOTE;SE;Remote Sverige;57493;57498
REMOTE;SE;Remote Sverige;62330;62332
REMOTE;SE;Remote Sverige;71691;71694
REMOTE;SE;Remote Sverige;78233;78233
REMOTE;SE;Remote Sverige;84271;84271
REMOTE;SE;Remote Sverige;57592;57594
REMOTE;SE;Remote Sverige;62456;62456
REMOTE;SE;Remote Sverige;71891;71897
REMOTE;SE;Remote Sverige;78275;78291
REMOTE;SE;Remote Sverige;84291;84299
REMOTE;SE;Remote Sverige;57597;57599
REMOTE;SE;Remote Sverige;62460;62460
REMOTE;SE;Remote Sverige;71991;71991
REMOTE;SE;Remote Sverige;78390;78393
REMOTE;SE;Remote Sverige;84391;84398
REMOTE;SE;Remote Sverige;57692;57695
REMOTE;SE;Remote Sverige;62465;62467
REMOTE;SE;Remote Sverige;71993;71993
REMOTE;SE;Remote Sverige;78530;78560
REMOTE;SE;Remote Sverige;84491;84498
REMOTE;SE;Remote Sverige;57751;57751
REMOTE;SE;Remote Sverige;63517;63517
REMOTE;SE;Remote Sverige;72590;72590
REMOTE;SE;Remote Sverige;78563;78592
REMOTE;SE;Remote Sverige;84552;84699
REMOTE;SE;Remote Sverige;57777;57790
REMOTE;SE;Remote Sverige;64191;64199
REMOTE;SE;Remote Sverige;72594;72598
REMOTE;SE;Remote Sverige;78691;79026
REMOTE;SE;Remote Sverige;85561;85561
REMOTE;SE;Remote Sverige;57792;57794
REMOTE;SE;Remote Sverige;64263;64291
REMOTE;SE;Remote Sverige;72691;72692
REMOTE;SE;Remote Sverige;79191;79196
REMOTE;SE;Remote Sverige;85592;85599
REMOTE;SE;Remote Sverige;57799;57799
REMOTE;SE;Remote Sverige;64293;64298
REMOTE;SE;Remote Sverige;73113;73115
REMOTE;SE;Remote Sverige;79277;79298
REMOTE;SE;Remote Sverige;86193;86193
REMOTE;SE;Remote Sverige;57874;57895
REMOTE;SE;Remote Sverige;64360;64360
REMOTE;SE;Remote Sverige;73191;73193
REMOTE;SE;Remote Sverige;79350;79397
REMOTE;SE;Remote Sverige;86492;86492
REMOTE;SE;Remote Sverige;57992;57996
REMOTE;SE;Remote Sverige;64391;64399
REMOTE;SE;Remote Sverige;73195;73197
REMOTE;SE;Remote Sverige;79490;79498
REMOTE;SE;Remote Sverige;87191;87192
REMOTE;SE;Remote Sverige;58360;58360
REMOTE;SE;Remote Sverige;64592;64593
REMOTE;SE;Remote Sverige;73272;73293
REMOTE;SE;Remote Sverige;79570;79792
REMOTE;SE;Remote Sverige;87194;87194
REMOTE;SE;Remote Sverige;58394;58394
REMOTE;SE;Remote Sverige;64596;64597
REMOTE;SE;Remote Sverige;73296;73298
REMOTE;SE;Remote Sverige;80591;80591
REMOTE;SE;Remote Sverige;87294;87294
REMOTE;SE;Remote Sverige;58575;58575
REMOTE;SE;Remote Sverige;64692;64696
REMOTE;SE;Remote Sverige;73360;73375
REMOTE;SE;Remote Sverige;80595;80598
REMOTE;SE;Remote Sverige;87391;87391
REMOTE;SE;Remote Sverige;58578;58578
REMOTE;SE;Remote Sverige;64791;64793
REMOTE;SE;Remote Sverige;73395;73399
REMOTE;SE;Remote Sverige;81192;81192
REMOTE;SE;Remote Sverige;87397;87399
REMOTE;SE;Remote Sverige;59039;59042
REMOTE;SE;Remote Sverige;64830;64991
REMOTE;SE;Remote Sverige;73491;73491
REMOTE;SE;Remote Sverige;81195;81195
REMOTE;SE;Remote Sverige;88170;88170
REMOTE;SE;Remote Sverige;59046;59053
REMOTE;SE;Remote Sverige;65595;65596
REMOTE;SE;Remote Sverige;73493;73494
REMOTE;SE;Remote Sverige;81197;81198
REMOTE;SE;Remote Sverige;88195;88199
REMOTE;SE;Remote Sverige;59177;59190
REMOTE;SE;Remote Sverige;66191;66192
REMOTE;SE;Remote Sverige;73591;73592
REMOTE;SE;Remote Sverige;81293;81294
REMOTE;SE;Remote Sverige;88291;88397
REMOTE;SE;Remote Sverige;59193;59195
REMOTE;SE;Remote Sverige;66195;66196
REMOTE;SE;Remote Sverige;73693;73693
REMOTE;SE;Remote Sverige;81394;81396
REMOTE;SE;Remote Sverige;89391;89391
REMOTE;SE;Remote Sverige;59197;59199
REMOTE;SE;Remote Sverige;66250;66250
REMOTE;SE;Remote Sverige;73761;73892
